birthdate,cage,mom,dad,males,females,notes,plusplus,plusminus,minusminus,borns,deaths
12/06/21,AB1,A0156,A0147,3,4,12/29 out to A6 & A7,3,0,4,7,0
01/06/22,AB1,A0156,A0147,5,4,1/28 out to A3 & A5,1,8,0,9,0
02/01/22,AB1,A0156,A0147,4,4,2/21 out to A2 & A8,,,,8,0
02/28/22,AB1,A0156,A0147,1,3,3/18 out to A9 & AB1,,,,4,0
11/09/21,AB2,A0151,A0148,3,2,11/29 out to A2 & A4,3,2,0,5,0
12/03/21,AB2,A0151,A0148,3,3,12/25 out to A1 & A4,1,2,3,7,1
01/17/22,AB2,A0151,A0148,2,0,2/11 out to A3 & A6,1,1,0,2,0
02/09/22,AB2,A0151,A0148,3,3,3/1 out to A9 & A10,,,,6,0
04/08/22,FAB1,F648,FA048,0,4,4/28 F out to FA2,,,,4,0
04/30/22,FAB1,F648,FA048,2,3,5/20 F out to FA3,,,,5,0
05/24/22,FAB1,F648,FA048,1,2,6/14 F out to FA4,,,,3,0
03/14/22,FAB2,F644,FA031,5,2,4/4 F out to FA1,,,,7,0
