msid,Gender,Geno,dob.,Ear,Mom,Dad,Cage,usage,Date
5506,F,C57BL/6J,11/21/19,,5479,5471,W03,,Nlrp3
5507,F,C57BL/6J,11/21/19,,5479,5471,W03,,Nlrp3
5510,F,C57BL/6J,12/09/19,L,Chen,5472,W03,,Nlrp3
5524,M,C57BL/6J,02/06/20,,5480,5472,W02,20-05a,6/27-7/27
5525,M,C57BL/6J,02/06/20,,5480,5472,W02,20-05a,6/27-7/27
5526,M,C57BL/6J,02/06/20,,5480,5472,W02,didn't see,6/27?
5537,M,C57BL/6J,02/23/20,LR,5479,5471,W02,20-05a,6/27-7/28
5544,F,C57BL/6J,05/01/20,,5523,5527,W06,,
5545,F,C57BL/6J,05/01/20,,5523,5527,W06,,
5546,F,C57BL/6J,05/01/20,,5523,5527,W06,,
5547,F,C57BL/6J,05/01/20,,5523,5527,W06,,
5548,F,C57BL/6J,05/01/20,,5523,5527,W06,,
5557,F,C57BL/6J,07/09/20,NH,5528,5535,W14,,
5558,F,C57BL/6J,07/09/20,L,5528,5535,W14,,
5559,F,C57BL/6J,07/09/20,R,5528,5535,W14,,
5560,M,C57BL/6J,07/16/20,L,5523,5527,W16,20-05a,6/27-7/29
5561,M,C57BL/6J,07/16/20,L,5523,5527,W16,20-05a,6/27-7/30
5562,M,C57BL/6J,07/16/20,LL,5523,5527,W02,didn't see,6/27?
5563,F,C57BL/6J,07/16/20,LL,"5,523",5527,W14?,10/14 out of WB2 (wrong?),Nlrp3
5564,F,C57BL/6J,07/16/20,LR,5523,5527,W14,,Nlrp3
5565,M,C57BL/6J,07/25/20,,5529,5536,W15,,
5566,M,C57BL/6J,07/25/20,,5529,5536,W15,,
5567,M,C57BL/6J,07/25/20,,5529,5536,W15,,
5568,M,C57BL/6J,07/25/20,,5529,5536,W15,,
5569,M,C57BL/6J,07/25/20,,5529,5536,W15,,
5570,M,C57BL/6J,07/25/20,,5529,5536,W16,20-05a,6/27-7/31
5571,M,C57BL/6J,07/25/20,,5529,5536,W16,20-05a,6/27-7/32
5572,M,C57BL/6J,07/25/20,,5529,5536,W16,20-05a,6/27-7/33
5578,F,C57BL/6J,08/23/20,R,5528,5535,W23,,
5595,M,C57BL/6J,02/11/21,,5582,5585,W04,,
5596,M,C57BL/6J,02/11/21,,5582,5585,W04,,
5597,M,C57BL/6J,02/11/21,,5582,5585,W04,,
5598,M,C57BL/6J,02/11/21,,5582,5585,W04,,
5599,F,C57BL/6J,02/11/21,,5582,5585,W08,6/27 from RB1,
5600,F,C57BL/6J,02/11/21,,5582,5585,W08,6/27 from RB2,
5601,F,C57BL/6J,02/11/21,,5582,5585,W08,6/27 from RB3,
5602,F,C57BL/6J,02/11/21,LR,5582,5585,W05,,Nlrp3
5603,F,C57BL/6J,02/11/21,LL,5582,5585,W05,,Nlrp3
5604,M,C57BL/6J,02/25/21,L,5576,5583,W04,,
5605,M,C57BL/6J,03/07/21,NH,5582,5585,W17,,
5606,M,C57BL/6J,03/07/21,L,5582,5585,W17,,
5607,F,C57BL/6J,03/07/21,NH,5582,5585,W18,,
5608,F,C57BL/6J,03/07/21,L,5582,5585,W18,,
5609,M,C57BL/6J,03/17/21,NH,5577,5584,W19,,
5610,M,C57BL/6J,03/17/21,L,5577,5584,W19,,
5611,M,C57BL/6J,03/17/21,R,5577,5584,W19,,
5612,M,C57BL/6J,03/17/21,LR,5577,5584,W19,,
5613,F,C57BL/6J,03/17/21,R,5577,5584,W18,,
5614,F,C57BL/6J,03/17/21,LR,5577,5584,W18,,
5615,F,C57BL/6J,03/17/21,LL,5577,5584,W18,,
5616,M,C57BL/6J,03/20/21,R,5576,5583,W17,,
5617,F,C57BL/6J,03/20/21,NH,5576,5583,W05,,
5618,F,C57BL/6J,03/20/21,L,5576,5583,W05,,
5619,F,C57BL/6J,03/20/21,R,5576,5583,W05,,
5620,M,C57BL/6J,04/18/21,,5582,5585,W21,,
5621,M,C57BL/6J,04/18/21,,5582,5585,W21,,
5622,M,C57BL/6J,04/18/21,,5582,5585,W21,,
5623,M,C57BL/6J,04/18/21,,5582,5585,W21,,
5624,M,C57BL/6J,04/18/21,,5582,5585,W21,,
5627,F,C57BL/6NJ,04/06/21,R,Jax,Jax,W08,,
5628,F,C57BL/6NJ,04/06/21,L,Jax,Jax,W08,,
5633,F,C57BL/6J,04/27/21,,5577,5584,W23,Out of WB3 8/16,
5634,F,C57BL/6J,04/27/21,,5577,5584,W23,,
5635,F,C57BL/6J,04/27/21,,5577,5584,W23,,
5636,F,C57BL/6J,04/27/21,,5577,5584,W23,,
5642,F,C57BL/6J,04/28/21,,5576,5583,W25,Out of WB1 8/16,Nlrp3
5643,F,C57BL/6J,04/28/21,,5576,5583,W25,Out of WB2 8/11,Nlrp3
5644,F,C57BL/6J,04/28/21,,5576,5583,W25,,Nlrp3
5645,F,C57BL/6J,04/28/21,,5576,5583,W25,,
5654,M,C57BL/6J,06/02/21,NH,5582,5585,W13,,
5656,M,C57BL/6J,06/02/21,R,5582,5585,W13,,
5665,M,B6.129,07/19/21,,5651,5648,W10,,WB4
5666,M,B6.129,07/19/21,,5651,5648,W10,,WB4
5667,M,B6.129,07/19/21,,5651,5648,W10,,WB4
5668,M,B6.129,07/19/21,,5651,5648,W10,,WB4
5669,M,B6.129,07/19/21,,5651,5648,W10,,WB4
5671,M,C57BL/6J,07/22/21,LR,5633,5637,W13,,
5682,F,B6.129,09/13/21,R,5663,5653,W28,,WB2
5683,M,B6.129,09/21/21,LL,5651,5648,W13,,WB4
5685,F,B6.129,09/21/21,LR,5651,5648,W28,,WB4
5686,M,B6.129,10/14/21,LL,5651,5648,WB3,,WB4
5687,F,B6.129,10/14/21,,5651,5648,W28,,WB4
5688,F,B6.129,10/14/21,,5651,5648,W28,,WB4
5689,M,B6.129,11/05/21,LR,5651,5648,RA07,,
5690,M,C57BL/6J,11/29/21,,5661,5656,W09,,
5691,M,C57BL/6J,11/29/21,,5661,5656,W09,,
5692,M,C57BL/6J,11/29/21,,5661,5656,W09,,
5697,M,B6.129,07/05/21,,Chen,Chen,W29,kill,
5698,M,B6.129,07/05/21,,Chen,Chen,W29,kill,
5699,M,B6.129,07/05/21,,Chen,Chen,W29,kill,
5700,M,B6.129,07/05/21,,Chen,Chen,W29,kill,
5701,M,B6.129,07/05/21,,Chen,Chen,W29,kill,
5704,F,B6.129,10/12/21,,Chen,Chen,W30,,
5705,F,B6.129,10/12/21,,Chen,Chen,W30,,
5706,F,B6.129,10/12/21,,Chen,Chen,W30,,
5709,F,B6.129,10/27/21,L,Chen,Chen,W30,,
5710,F,B6.129,10/27/21,L,Chen,Chen,W30,,
5711,F,B6.129,10/27/21,,Chen,Chen,WB3,,
5714,M,B6.129,12/08/21,,5651,5648,R16,,
5715,F,B6.129,01/24/22,brown,5651,5648,A08,,
5716,F,C57BL/6J,01/18/22,,Jax,Jax,RB1,,
5717,F,C57BL/6J,01/18/22,,Jax,Jax,RB3,,
5718,F,C57BL/6J,01/18/22,,Jax,Jax,RB5,,
5723,M,B6.129,03/06/22,,5703,5713,W32,,
5724,M,B6.129,03/06/22,,5703,5713,W32,,
5725,F,B6.129,03/06/22,,5703,5713,W33,,
5726,F,B6.129,03/06/22,,5703,5713,W33,,
5727,F,B6.129,03/06/22,,5703,5713,W33,,
5728,F,B6.129,03/06/22,,5703,5713,W33,,
5729,M,B6.129,04/18/22,,5703,5713,W34,,
5730,M,B6.129,04/18/22,,5703,5713,W34,,
5731,M,B6.129,04/18/22,,5703,5713,W34,,
5732,M,B6.129,04/18/22,,5703,5713,W34,,
5733,M,B6.129,04/18/22,,5703,5713,W34,,
5734,F,B6.129,04/18/22,,5703,5713,W35,,
5735,F,B6.129,04/18/22,,5703,5713,W35,,
5736,F,B6.129,04/18/22,,5703,5713,W35,,
5737,F,B6.129,04/18/22,,5703,5713,W35,,
5738,F,B6.129,04/18/22,,5703,5713,W35,,
5739,M,C57BL/6J,03/27/22,,5720,5722,W32,,
5740,M,C57BL/6J,03/27/22,,5720,5722,W32,,
5741,M,C57BL/6J,03/27/22,,5720,5722,W32,,
5742,F,C57BL/6J,03/27/22,,5720,5722,W36,,
5743,F,C57BL/6J,03/27/22,,5720,5722,W36,,
5744,F,C57BL/6J,03/27/22,,5720,5722,W36,,
5745,M,C57BL/6J,04/21/22,,5720,5722,S13,,
5746,F,C57BL/6J,04/21/22,,5720,5722,W37,,
5747,F,C57BL/6J,04/21/22,,5720,5722,W37,,
5748,F,C57BL/6J,04/21/22,,5720,5722,W37,,
5749,F,C57BL/6J,04/21/22,,5720,5722,W37,,
5750,M,B6.129,05/11/22,,5703,5713,W38,,
5751,M,B6.129,05/11/22,,5703,5713,W38,,
5752,M,B6.129,05/11/22,,5703,5713,W38,,
5753,M,B6.129,05/11/22,,5703,5713,W38,,
5754,M,B6.129,05/11/22,,5703,5713,W38,,
5755,F,B6.129,05/11/22,,5703,5713,W39,TB1,
5756,F,B6.129,05/11/22,,5703,5713,W39,TB2,
5757,F,B6.129,05/11/22,,5703,5713,W39,TB3,
5758,F,B6.129,05/11/22,,5703,5713,W39,TB4,
5759,F,B6.129,05/11/22,,5703,5713,W39,TB5,
5760,M,C57BL/6J,05/15/22,,5720,5722,W40,,
5761,M,C57BL/6J,05/15/22,,5720,5722,W40,,
5762,M,C57BL/6J,05/15/22,,5720,5722,W40,,
5763,F,C57BL/6J,05/15/22,,5720,5722,W41,,
5764,F,C57BL/6J,05/15/22,,5720,5722,W41,,
5765,F,C57BL/6J,05/15/22,,5720,5722,W41,,
5766,F,C57BL/6J,05/15/22,,5720,5722,W41,,
