msid,gender,geno,birthdate,ear,mom,dad,cage,notes,termination
1526,M,+/-:Tie2 fl/fl,04/25/20,L,1323,1368,EA12,1704-6 PL+PD,03/20/22
1529,M,+/-:Tie2 fl/fl,04/25/20,LLR,1323,1368,EA12,dead,10/12/21
1567,M,+/-:Tie2 fl/fl,05/02/20,LR,1254,F177,EA22,1704-6 PL+PD,03/20/22
1579,M,+/-:Tie2 fl/fl,05/11/20,R,1370,1375,EA12,dead,10/12/21
1580,M,+/-:Tie2 fl/fl,05/11/20,LR,1370,1375,EA12,didn't see,02/20/22
1587,M,fl/fl,05/19/20,NH,1416,1429,EA12,1704-6 ctrl,03/20/22
1591,M,+/-:Tie2 fl/fl,05/21/20,NH,1256,7155,EA06,1704-6 PL+ND,01/25/22
1593,M,fl/fl,05/21/20,R,1256,7155,EA06,"1704-6 PL+ND, dead",01/25/22
1594,M,fl/fl,05/21/20,LR,1256,7155,EA06,1704-6 PL+ND,01/25/22
1607,M,+/-:Tie2 fl/fl,05/23/20,L,1323,1368,EA06,1704-6 PL+ND,01/25/22
1609,F,+/-:Tie2 fl/fl,05/23/20,NH,1323,1368,EA04,didn't see,02/14/22
1610,F,+/-: fl/fl,05/23/20,L,1323,1368,EA04,kill,02/14/22
1616,F,fl/fl,05/25/20,R,1254,F177,EA04,kill,02/14/22
1627,F,+/-: fl/fl,05/27/20,LR,1310,1361,EA04,kill,02/14/22
1635,F,+/-:Tie2 fl/fl,05/29/20,NH,1387,1375,EA05,kill,02/14/22
1636,F,Tie2-fl/fl,05/29/20,L,1387,1375,EA05,kill,02/14/22
1653,F,Tie2-fl/fl,06/10/20,R,1416,1429,EA05,didn't see,02/14/22
1656,F,+/-:Tie2 fl/fl,06/10/20,LR,1416,1429,EA05,didn't see,02/14/22
1662,F,+/-:Tie2 fl/fl,06/11/20,LR,1415,1421,EA05,didn't see,02/14/22
1665,M,+/-:Tie2 fl/fl,06/15/20,NH,1287,7243,EA22,dead,11/18/21
1666,M,fl/fl,06/15/20,LL,1287,7243,EA22,1704-6 ctrl,03/20/22
1668,M,+/-:Tie2 fl/fl,06/15/20,LR,1287,7243,EA24,1704-6 PL+HFD,01/25/22
1674,M,Tie2-fl/fl,06/16/20,RR,1254,F177,EA24,1704-6 PL+HFD,01/25/22
1681,M,+/-:Tie2 fl/fl,06/26/20,NH,1310,1361,EA24,1704-6 PL+HFD,01/25/22
1692,M,Tie2-fl/fl,07/01/20,L,1257,7224,EA26,1704-6 PL+HFD,01/25/22
1707,M,Tie2-fl/fl,07/07/20,LR,1415,1421,EA26,1704-6 PL+HFD,01/25/22
1715,M,fl/fl,07/10/20,LRR,1287,7243,EA26,1704-6 PL+HFD,01/25/22
1739,M,Tie2-fl/fl,07/17/20,R,1285,7242,EA31,1704-6 PL+HFD,01/25/22
1748,M,fl/fl,07/19/20,NH,1387,1375,EA31,1704-6 PL+HFD,01/25/22
1749,M,+/-:Tie2 fl/fl,07/19/20,L,1387,1375,EA31,1704-6 PL+HFD,01/25/22
1755,M,fl/fl,07/21/20,LL,1310,1361,EA31,1704-6 PL+HFD,01/25/22
1766,M,fl/fl,07/26/20,L,1323,1368,EA35,1704-6 PL+HFD,03/20/22
1767,M,+/-:Tie2 fl/fl,07/26/20,R,1323,1368,EA35,1704-6 PL+HFD,03/20/22
1768,M,Tie2-fl/fl,07/26/20,LR,1323,1368,EA35,didn't see,02/20/22
1785,M,+/-:Tie2 fl/fl,08/01/20,LLR,1256,7155,EA35,didn't see,02/20/22
1807,M,+/-:Tie2 fl/fl,08/17/20,L,1257,7224,EA03,1704-6 PL+HFD,03/20/22
1810,M,+/-:Tie2 fl/fl,08/17/20,LL,1257,7224,EA03,1704-6 PL+HFD,03/20/22
1816,M,Tie2-fl/fl,08/17/20,LR,1323,1368,EA03,1704-6 PL+HFD,03/20/22
1850,M,+/-:Tie2 fl/fl,08/24/20,RR,1287,7243,EA11,1704-6 PL+HFD,03/20/22
1856,M,Tie2-fl/fl,08/25/20,NH,1370,1461,EA11,dead,11/06/21
1859,M,+/-:Tie2 fl/fl,08/25/20,LR,1370,1461,EA15+++,didn't see,02/20/22
1860,M,fl/fl,08/25/20,LL,1370,1461,EA11,1704-6 PL+HFD,03/20/22
1982,M,-/-,02/01/21,LR,1936,1916,A11,dead,12/31/21
1983,M,-/-,02/14/21,NH,1903,1908,A11,dead,12/31/21
1985,M,+/+,02/14/21,R,1903,1908,A11,kill,12/31/21
1994,M,+/+,02/24/21,LR,1936,1916,A11,kill,12/31/21
A0040,M,+/-:Tie2 fl/+,05/14/21,L,1883,1706,A01,dead,01/29/22
A0041,M,+/-:Tie2 fl/+,05/14/21,LR,1883,1706,A01,kill,01/29/22
A0049,M,+/+,05/25/21,NH,1966,1984,A01,kill,01/29/22
A0059,M,+/-:Tie2 fl/fl,06/09/21,RR,1883,1706,A01,kill,01/29/22
A0068,M,+/+,06/20/21,L,1903,1908,A03,kill,01/29/22
A0069,M,+/+,06/20/21,R,1903,1908,A03,kill,01/29/22
A0070,M,-/-,06/20/21,LR,1903,1908,A03,kill,01/29/22
A0075,M,+/-:Tie2 fl/fl,06/21/21,LL,F478,A0023,EA01,1704-6 PL+HFD,03/20/22
A0079,M,-/-,06/21/21,LL,A0020,A0006,A03,kill,01/29/22
A0085,M,+/-:Tie2 fl/fl,06/26/21,LR,F462,1831,EA01,1704-6 PL+HFD,03/20/22
A0110,M,+/-:Tie2 fl/fl,07/09/21,NH,F478,A0023,EA01,1704-6 PL+HFD,03/20/22
A0114,F,+/-:Tie2 fl/fl,07/09/21,NH,F478,A0023,EA37,kill,02/14/22
A0115,F,fl/fl,07/09/21,L,F478,A0023,EA37,kill,02/14/22
A0116,F,fl/fl,07/09/21,R,F478,A0023,EA37,kill,02/14/22
A0120,M,Tie2-fl/fl,07/09/21,R,1883,1706,EA01,1704-6 PL+HFD,03/20/22
A0123,F,+/-:Tie2 fl/fl,07/09/21,RR,1883,1706,EA37,kill,02/14/22
A0124,F,+/-:Tie2 fl/fl,07/09/21,LR,1883,1706,EA37,kill,02/14/22
A0127,M,+/-:Tie2 fl/fl,07/25/21,L,F462,1831,EA02,1704-6 PL+HFD,03/20/22
A0128,M,Tie2-fl/fl,07/25/21,R,F462,1831,EA02,1704-6 PL+HFD,03/20/22
A0143,F,+/-:Tie2 fl/fl,08/05/21,NH,1883,1706,FA04,kill,05/11/22
A0147,M,+/-,08/12/21,R,A0021,A0007,AB1,kill,02/14/22
A0148,M,+/-,08/12/21,LR,A0021,A0007,AB2,kill,02/14/22
A0151,F,+/-,08/12/21,R,A0021,A0007,AB2,kill,05/11/22
