msid,gender,geno,dob,ear,mom,dad,cage,usage,date
2560,F,Nlrp3,11/28/19,NH,2486,2457,J08,,
2561,F,Nlrp3,11/28/19,L,2486,2457,J08,,
2563,F,Nlrp3,11/28/19,LR,2486,2457,J08,,
2564,F,Nlrp3,11/28/19,LL,2486,2457,J08,,
2585,M,Nlrp3,01/10/20,L,2486,2457,J09,20-05a,6/28-7/28/22
2589,F,Nlrp3,01/10/20,NH,2486,2457,J10,,
2590,F,Nlrp3,01/10/20,L,2486,2457,J10,,
2591,F,Nlrp3,01/10/20,R,2486,2457,J10,,
2648,M,Nlrp3,07/04/20,NH,2592,2588,J14,20-05a,6/28-7/28/22
2650,M,Nlrp3,07/04/20,R,2592,2588,J14,20-05a,6/28-7/28/22
2651,M,Nlrp3,07/04/20,LR,2592,2588,J14,20-05a,6/28-7/28/22
2653,F,Nlrp3,07/04/20,NH,2592,2588,J15,J10,
2654,F,Nlrp3,07/04/20,L,2592,2588,J15,J10,
2734,F,Nlrp3,05/12/21,NH,2706,2702,J12,,
2735,F,Nlrp3,05/12/21,L,2706,2702,J12,,
2736,F,Nlrp3,05/12/21,R,2706,2702,J12,,
2741,F,Nlrp3,06/03/21,LR,2706,2702,J12,,
2742,F,Nlrp3,06/03/21,LL,2706,2702,J12,,
2757,M,Nlrp3,08/25/21,NH,2746,2740,J05,20-05a,6/28-7/28/22
2758,M,Nlrp3,08/25/21,L,2746,2740,J05,20-05a,6/28-7/28/22
2759,M,Nlrp3,08/25/21,R,2746,2740,J05,20-05a,6/28-7/28/22
2761,F,Nlrp3,08/25/21,L,2746,2740,J13,,
2766,F,Nlrp3,08/26/21,NH,2743,2732,J13,,
2767,F,Nlrp3,08/26/21,LR,2743,2732,J13,,
2774,F,Nlrp3,08/26/21,LL,2745,2739,J13,,
2780,F,Nlrp3,08/27/21,R,2744,2731,J13,,
2788,F,Nlrp3,09/22/21,NH,2746,2740,J17,,
2789,F,Nlrp3,09/22/21,L,2746,2740,J17,,
2790,F,Nlrp3,09/22/21,R,2746,2740,J17,,
2791,F,Nlrp3,09/22/21,LR,2746,2740,J17,,
2792,F,Nlrp3,09/22/21,LL,2746,2740,J17,,
2794,M,Nlrp3,09/23/21,L,2743,2732,J18,20-05a,6/28-7/28/22
2795,M,Nlrp3,09/23/21,R,2743,2732,J18,20-05a,6/28-7/28/22
2797,M,Nlrp3,09/23/21,LL,2743,2732,J18,20-05a,6/28-7/28/22
2798,F,Nlrp3,09/23/21,NH,2743,2732,J19,,
2800,F,Nlrp3,09/23/21,R,2743,2732,J19,,
2801,F,Nlrp3,09/23/21,LR,2743,2732,J19,,
2804,F,Nlrp3,09/28/21,LL,2744,2731,J19,,
2805,F,Nlrp3,09/28/21,L,2744,2731,J19,,
2806,F,Nlrp3,09/28/21,R,2744,2731,FA04,,
2814,F,Nlrp3,11/04/21,R,2781,2764,A04,,
2815,M,Nlrp3,11/29/21,L,2781,2764,W09,,
2816,F,Nlrp3,11/29/21,,2781,2764,J01,,
2817,F,Nlrp3,11/29/21,,2781,2764,J01,,
2824,F,Nlrp3,12/23/21,,2781,2764,J22,,
2825,F,Nlrp3,12/23/21,,2781,2764,J22,,
2826,F,Nlrp3,12/23/21,,2781,2764,J22,,
2827,M,Nlrp3,02/14/22,LR,2781,2764,J16,,JB1
2828,F,Nlrp3,02/14/22,LL,2781,2764,J20,,JB1
2829,F,Nlrp3,02/14/22,,2781,2764,J20,,JB1
2830,F,Nlrp3,02/14/22,,2781,2764,J20,,JB1
2831,F,Nlrp3,02/14/22,,2781,2764,J20,,JB1
2832,F,Nlrp3,02/14/22,,2781,2764,J20,,JB1
2833,F,Nlrp3,02/14/22,,2781,2764,J16,,JB1
2834,F,Nlrp3,02/14/22,,2781,2764,J16,,JB1
2835,M,N/+,03/07/22,,2818,9313,MN01,,2836
2836,M,Myh11-N/+,03/07/22,,2818,9313,MN01,,2835
2837,M,Myh11-N/+,03/07/22,,2818,9313,MN01,,
2838,F,N/+,03/07/22,,2818,9313,MN02,,2839
2839,F,Myh11-N/+,03/07/22,,2818,9313,MN02,,2838
2840,F,N/+,03/07/22,,2818,9313,MN02,,2841
2841,F,Myh11-N/+,03/07/22,,2818,9313,MN02,,2840
2851,M,N/+,04/04/22,,2818,9313,MN04,,2852
2852,M,Myh11-N/+,04/04/22,,2818,9313,MN04,,2851
2853,F,Myh11-N/+,04/04/22,,2818,9313,MN03,,2854
2854,F,N/+,04/04/22,,2818,9313,MN03,,2853
2855,F,N/+,04/04/22,,2818,9313,MN03,,2858
2856,M,Myh11-N/+,04/07/22,,2819,9311,MN04+,fignt out,2847
2857,M,Myh11-N/+,04/07/22,,2819,9311,MN04+,fignt out,
2858,F,Myh11-N/+,04/07/22,,2819,9311,MN03,,2855
2859,F,Myh11-N/+,04/07/22,,2819,9311,MN05,,2860
2860,F,N/+,04/07/22,,2819,9311,MN05,,2859
2861,M,N/+,04/21/22,,2820,9308,MN06,,2862
2862,M,Myh11-N/+,04/21/22,,2820,9308,MN06,,2861
2863,M,Myh11-N/+,04/21/22,,2820,9308,MN06,,2864
2864,M,N/+,04/21/22,,2820,9308,MN06,,2863
2865,F,N/+,04/21/22,,2820,9308,MN07,,2866
2866,F,Myh11-N/+,04/21/22,,2820,9308,MN07,,2865
2867,F,N/+,04/21/22,,2820,9308,MN07,,2868
2868,F,Myh11-N/+,04/21/22,,2820,9308,MN07,,2867
2869,F,Myh11-N/+,04/21/22,,2820,9308,MN07,,2870
2870,F,N/+,04/21/22,,2820,9308,MN08,,2869
2872,F,,04/26/22,,2781,2764,MN05,,JB1
2873,F,,04/26/22,,2781,2764,MN05,,JB1
2874,M,,05/01/22,,2818,9313,MN09,,MNB1
2875,M,,05/01/22,,2818,9313,MN09,,MNB1
2876,M,,05/01/22,,2818,9313,MN09,,MNB1
2877,M,,05/01/22,,2818,9313,MN09,,MNB1
2878,M,,05/01/22,,2818,9313,MN09,,MNB1
2879,M,,05/01/22,,2818,9313,MN10,,MNB1
2880,M,,05/01/22,,2818,9313,MN10,,MNB1
2881,F,,05/01/22,,2818,9313,MN08,,MNB1
2882,M,,05/02/22,,2819,9311,MN11,,MNB2
2883,M,,05/02/22,,2819,9311,MN11,,MNB2
2884,M,,05/02/22,,2819,9311,MN11,,MNB2
2885,M,,05/02/22,,2819,9311,MN11,,MNB2
2886,M,,05/02/22,,2819,9311,MN11,,MNB2
2887,M,,05/02/22,,2819,9311,MN10,,MNB2
2888,M,,05/02/22,,2819,9311,MN10,,MNB2
2889,F,,05/02/22,,2819,9311,MN08,,MNB2
2890,F,,05/02/22,,2819,9311,MN08,,MNB2
2891,M,,05/16/22,,2781,2764,MN10,,JB1
2892,F,,05/16/22,,2781,2764,J23,,JB1
2893,F,,05/16/22,,2781,2764,J23,,JB1
2894,F,,05/16/22,,2781,2764,J23,,JB1
2895,F,,05/16/22,,2781,2764,J23,,JB1
2896,F,,05/16/22,,2781,2764,J23,,JB1
2897,M,,05/19/22,,2820,9308,MN12,,MNB3
2898,M,,05/19/22,,2820,9308,MN12,,MNB3
2899,M,,05/19/22,,2820,9308,MN12,,MNB3
2900,M,,05/19/22,,2820,9308,MN12,,MNB3
2901,M,,05/19/22,,2820,9308,MN12,,MNB3
2902,M,,05/19/22,,2820,9308,MN14,,MNB3
2903,F,,05/19/22,,2820,9308,MN13,,MNB3
2904,F,,05/19/22,,2820,9308,MN13,,MNB3
2905,F,,05/19/22,,2820,9308,MN13,,MNB3
2906,M,,05/26/22,,2818,9313,MN14,,MNB1
2907,M,,05/26/22,,2818,9313,MN14,,MNB1
2908,M,,05/26/22,,2818,9313,MN14,,MNB1
2909,M,,05/26/22,,2818,9313,MN14,,MNB1
2910,M,,05/29/22,,2819,9311,MN15,,MNB2
2911,M,,05/29/22,,2819,9311,MN15,,MNB2
2912,M,,05/29/22,,2819,9311,MN15,,MNB2
2913,M,,05/29/22,,2819,9311,MN15,,MNB2
2914,M,,05/29/22,,2819,9311,MN15,,MNB2
2915,F,,05/29/22,,2819,9311,MN16,,MNB2
2916,F,,05/29/22,,2819,9311,MN16,,MNB2
2917,F,,05/29/22,,2819,9311,MN16,,MNB2
2918,M,,06/17/22,,2818,9313,MN18,,MNB1
2919,F,,06/17/22,,2818,9313,MN16,,MNB1
2920,F,,06/17/22,,2818,9313,MN17,,MNB1
2921,F,,06/17/22,,2818,9313,MN17,,MNB1
2922,F,,06/17/22,,2818,9313,MN17,,MNB1
2923,F,,06/17/22,,2818,9313,MN17,,MNB1
2924,F,,06/17/22,,2818,9313,MN17,,MNB1
